detected_at,status,event_id,title,event_start,venue,hours_before_start
2026-09-18T10:51:19.849052-04:00,sold_out,6a95b567c1445f8f5e65a065,Woodstockers TV Pilot + Talk-Back about the rise of Indie TV,2026-10-14T17:30:00-04:00,Tinker Street Cinema,630.64
2026-09-18T13:51:14.896111-04:00,back_on_sale,6a95b567c1445f8f5e65a065,Woodstockers TV Pilot + Talk-Back about the rise of Indie TV,2026-10-14T17:30:00-04:00,Tinker Street Cinema,627.65
2026-09-18T14:51:04.910757-04:00,sold_out,6a95b567c1445f8f5e65a065,Woodstockers TV Pilot + Talk-Back about the rise of Indie TV,2026-10-14T17:30:00-04:00,Tinker Street Cinema,626.65
2026-09-23T16:51:14.611455-04:00,sold_out,6aa86c8f153010043a3797ba,The Debut,2026-10-14T19:45:00-04:00,Woodstock Playhouse,506.90
